Date,Victim,Type,Tonnage,Submarine,Hull_Number,Evaluation
16-10-42,Sydney Marn,AK,5245,THRESHER,SS200, Prob Dam 
30-11-42,Canton FR,APK,1521,TAUTOG,SS199,Prob Sunk
20-12-42,Mitsuki Marn,AK,3893,TRIGGER,SS237, Prob Sunk 
29-12-42,Fukken Marn,AK,2558,TAMBOR,SSI98, Prob Sunk 
29-12-42,Teifuku Maru,AK,5198,TRIGGER,SS237, Prob Sunk 
20-01-43,Hokusui Maru,AK,3964,SUNFISH,SS281, Poss Dam 
20-02-43,Yoshida Marn,XPF,2920,SUNFISH,SS281, Poss Dam 
07-05-43,Gov Gen Pasquier,FrAP,1994,GRENADIER,SS210, Mines Old? 
26-05-43,Palembang Maru,AO,5236,TROUT,SS202, Prob Dam 
30-05-43,Takamisan Maru,AK,1992,SNOOK,SS279, Poss Sunk 
30-05-43,Hakozaki Marn,AK,3948,SNOOK,SS279, Poss Dam 
15-07-43,Nagara,CL,5170,SILVERSIDES,SS236, Poss Dam 
27-07-43,Teikin Marn,AK,1972,TAMBOR,SS198, Mines Old? 
09-08-43,Esutorn Marn,Civ,3295,SCORPION,SS278, Poss Dam 
16-09-43,Seikai Marn,XPG,2693,SILVERSIDES,SS236, Poss Sunk
04-10-43,Hyakufuku Marn,XAP,986,SCORPION,SS278, Poss Dam 
04-10-43,W 28 ,AM,648,SILVERSIDES,SS236, Poss Dam
20-02-44,Gyonan Maru,Yacht,1243,CREVALLE,SS291, Poss Dam 
20-02-44,Francis Garnier,FrAK,1243,CREVALLE,SS291, Prob Sunk 
14-03-44,Sanuki Maru,XAP,7158,RAY,SS271, Poss Dam 
09-04-44,Rakuyo Marn,APK,9418,BLUEFISH,SS222, Poss Danf 
01-07-44,Nikko Maru,AK,3098,KINGFISH,SS234, Mines Old? 
26-01-45,Tamon Maru #15 ,AK,6925,DACE,SS247, Prob Sunk
30-04-45,Yuno Maru,AO,2345,GUITARRO,SS363, Prob Sunk 
07-05-45,Hayasaki,AF,920,GUITARRO,SS363, Prob Dam 
29-06-45,Hasu Maru,AO,1914,GUITARRO,SS363, Poss Dam 
